Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
1009,,qué,/ke/,/ke/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1010,,suyo,/suʝo/,/suʝo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1011,,mío,/mio/,/mio/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1012,,sí,/si/,/si/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1013,,ése,/ese/,/ese/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1014,,tuyo,/tuʝo/,/tuʝo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1015,,ese,/ese/,/ese/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1016,,éste,/este/,/este/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1017,,mucho,/mutʃo/,/mutʃo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1018,,otro,/otɾo/,/otɾo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1019,,así,/asi/,/asi/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1020,,vez,/beθ/,/bes/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1021,,cuando,/kuando/,/kuando/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1022,,algo,/algo/,/algo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1023,,mucho,/mutʃo/,/mutʃo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1024,,nada,/nada/,/nada/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1025,,sentir,/sentiɾ/,/sentiɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1026,,nuestro,/nuestɾo/,/nuestɾo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1027,,gracias,/gɾaθias/,/gɾasias/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1028,,cosa,/kosa/,/kosa/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1029,,dos,/dos/,/dos/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1030,,alguno,/alguno/,/alguno/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1031,,señor,/seɲoɾ/,/seɲoɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1032,,necesitar,/neθesitaɾ/,/nesesitaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1033,,llevar,/ʝebaɾ/,/ʝebaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1034,,tan,/tan/,/tan/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1035,,mejor,/meksoɾ/,/meksoɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1036,,primero,/pɾimeɾo/,/pɾimeɾo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1037,,hasta,/asta/,/asta/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1038,,quién,/kien/,/kien/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1039,,quedar,/kedaɾ/,/kedaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1040,,hola,/ola/,/ola/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1041,,chico,/tʃiko/,/tʃiko/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1042,,oír,/oiɾ/,/oiɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1043,,mí,/mi/,/mi/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1044,,hijo,/ikso/,/ikso/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1045,,ni,/ni/,/ni/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1046,,favor,/faboɾ/,/faboɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1047,,gustar,/gustaɾ/,/gustaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1048,,seguir,/seksiɾ/,/seksiɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1049,,oh,/o/,/o/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1050,,hecho,/etʃo/,/etʃo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1051,,dios,/dios/,/dios/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1052,,poco,/poko/,/poko/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1053,,ahí,/ai/,/ai/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1054,,alguien,/alksien/,/alksien/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1055,,parte,/paɾte/,/paɾte/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1056,,momento,/momento/,/momento/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1057,,matar,/mataɾ/,/mataɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1058,,donde,/donde/,/donde/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1059,,seguro,/seguɾo/,/seguɾo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1060,,gente,/ksente/,/ksente/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1061,,estado,/estado/,/estado/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1062,,lugar,/lugaɾ/,/lugaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1063,,nadie,/nadie/,/nadie/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1064,,tal,/tal/,/tal/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1065,,ustedes,/ustedes/,/ustedes/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1066,,persona,/peɾsona/,/peɾsona/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1067,,tipo,/tipo/,/tipo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1068,,entender,/entendeɾ/,/entendeɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1069,,fuera,/fueɾa/,/fueɾa/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1070,,acabar,/akabaɾ/,/akabaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1071,,tratar,/tɾataɾ/,/tɾataɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1072,,tres,/tɾes/,/tɾes/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1073,,último,/ultimo/,/ultimo/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1074,,morir,/moɾiɾ/,/moɾiɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1075,,cada,/kada/,/kada/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1076,,vivir,/bibiɾ/,/bibiɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
